휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
백운산자연휴양림,전라남도,공유림,363000,395,0,Y,숙박동+목재문화체험장+황토길+산책로+야영장+운동장,전라남도 광양시 옥룡면 백계로 337,전라남도 광양시,061-797-2655,bwmt.gwangyang.go.kr,35.05164287,127.5985311,2023.2.8,4840000,전라남도 광양시
함평자연생태공원,전라남도,국유림,561867,,5000,N,과학관+나비곤충표본전시관+캠핑트레일러+반달가슴곰관찰원,전라남도 함평군 대동면 학동로 1398-77,함평군 산림공원과,061-320-2855,https://www.hampyeong.go.kr/ecopark/,35.13500123,126.5057,2023.1.25,4960000,전라남도 함평군
치악산자연휴양림,강원도,공유림,1700000,120,일반(개인 2000+청소년 및 군인 1500+어린이 1000)+단체(어른 1500+청소년 및 군인 1000+어린이 700),Y,숲속의집+주차장+산책로,강원도 원주시 판부면 휴양림길 66,강원도 원주시청 산림과,033-762-8288,https://foresttrip.go.kr/indvz/main.do?hmpgId=ID02030024,37.255878,128.031372,2023.2.6,4190000,강원도 원주시
화왕산자연휴양림,경상남도,공유림,673000,150,[휴양관 4인실 : (비수기및주중)50000원+(성수기및주말)75000원]+[휴양관 8인실 : (비수기및주중)80000원+(성수기및주말)100000원]+[숲속의 집(7인실) : (비수기및주중)70000원+ (성수기및주말)90000원]+[숲속의 집(9인실) : (비수기및주중)100000원+(성수기및주말)120000원]+[야영데크 : (1박)15000원]+[주차료 : (경형)1000원+(중소형)2000원+(대형)3000원+(산림휴양관+숲속의 집 이용시) 면제],Y,산림휴양관+숲속의 집+야영데크,경상남도 창녕군 고암면 청간길 128-126,경상남도 창녕군산림조합,055-533-2332,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030015,35.54697823,128.5673185,2022.6.14,5410000,경상남도 창녕군
백아산자연휴양림,전라남도,공유림,1000000,170,어른1000원+청소년600원+어린이400원,Y,족구장+정자+계곡데크,전라남도 화순군 백아면 수양로 353,전라남도 화순군청,061-379-3738,http://forest.hwasun.go.kr,35.15137582,127.1671251,2022.7.6,4900000,전라남도 화순군
한천자연휴양림,전라남도,공유림,1480000,86,어른1000원+청소년600원+어린이400원,Y,캠핑장+데크+잔디광장+정자+물썰매장,전라남도 화순군 한천면 죽헌로 719,전라남도 화순군청,061-379-3734,http://forest.hwasun.go.kr,34.98834125,127.0454803,2022.7.6,4900000,전라남도 화순군
회문산자연휴양림,전라북도,국유림,2890000,300,어른 1000원 청소년 600원 어린이 300원,Y,숲속의 집+산림문화 휴양관+야영시설,전라북도 순창군 구림면 안심길 295,국립자연휴양림관리소,063-653-4779,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0188,35.50195867,127.1148251,2022.6.15,4770000,전라북도 순창군
용궐산자연휴양림,전라북도,공유림,1630000,100,무료,N,산림휴양관+하늘길+야영장,전라북도 순창군 동계면 장군목길 538-19,순창군청,063-653-4779,,35.46166861,127.2048302,2022.6.15,4770000,전라북도 순창군
성불산자연휴양림,충청북도,공유림,58,242,입장료 개인(어린이 1000원+청소년 1500원+군인 1500원+일반 2000원)+입장료 단체(30명 이상)(어린이 500원+청소년 1000원+군인 1000원+일반 1500원)+주차료(경형 1500원+중소형 3000원+대형 5000원+숙박시설 사용자 무료),Y,숲속의집A+숲속의집B+산림문화휴양관+숲관광메가시티+생태숲학습관+한옥체험관+생태공원+미선향테마파크무인카페+수석전시관 등,충청북도 괴산군 괴산읍 충민로기곡길 78,충청북도 괴산군청 산림녹지과,043-830-2679,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030070,36.80804701,127.8467688,2022.6.10,4460000,충청북도 괴산군
오도산자연휴양림(합천),경상남도,공유림,2700000,780,개인 어른1000원+개인 군인청소년 700원+개인 어린이 300원+단체 어른700원+단체 군인청소년 500원+단체 어린이 200원,Y,숲속의집+휴양관,경상남도 합천군 봉산면 오도산휴양로 398,경상남도 합천군청,055-930-3733,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030068,35.66904518,128.0538745,2022.11.29,6480000,경상남도
산삼휴양밸리(대봉캠핑랜드),경상남도,공유림,1458868,400,무료,Y,숲속의집+휴양관,경상남도 함양군 병곡면 원산지소길 192,경상남도 함양군청,055-963-2026,https://www.hygn.go.kr/daebongvalley.web,35.58818277,127.6790131,2022.11.29,6480000,경상남도
용지봉자연휴양림(김해),경상남도,국유림,584112,80,무료,Y,숲속의집+휴양관,경상남도 김해시 대청계곡길 170-36,산림청,055-326-0133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0302,35.18540272,128.7754769,2022.11.29,6480000,경상남도
남해편백자연휴양림(남해),경상남도,국유림,1420000,900,개인 어른1000원+개인 청소년 600원+개인 어린이 300원+단체 어른800원+단체 군인청소년 500원+단체 어린이 200원+다자녀가정 면제+동절기 입장료면제(12월~3월),Y,숲속의집+휴양관,경상남도 남해군 삼동면 금암로 658,산림청,055-867-7881,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0192,34.75216391,128.0201321,2022.11.29,6480000,경상남도
주작산자연휴양림,전라남도,공유림,1690000,138,0,Y,휴양관+숲속의집+세미나실 등,전라남도 강진군 신전면 주작산길 262,전라남도 강진군,061-430-3306,https://foresttrip.go.kr/indvz/main.do?hmpgId=ID02030060,34.5172932,126.6989685,2022.12.6,4920000,전라남도 강진군
운문산자연휴양림,경상북도,국유림,170000,1000,0,Y,숲속의집+산림문화휴양관+숲속수련장+야영시설,경상북도 청도군 운문면 운문로 763,국립자연휴양림관리소,054-373-1327,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0195,35.64834675,129.026208,2022.11.30,5190000,경상북도 청도군
영양에코둥지,경상북도,공유림,642784,250,무료,Y,산림문화휴양관+숲속의집+목재문화체험장,경상북도 영양군 일월면 재일로 2394-70,경상북도 영양군청,054-680-5050,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030057,36.70182591,129.1124232,2022.12.2,5170000,경상북도 영양군
거제자연휴양림,경상남도,국유림,345377,600,일반1000원+청소년700원+군인700원+어린이500원+단체일반700원+단체청소년500원+단체군인500원+단체어린이300원,Y,숲속의집+휴양관+야영장+족구장+숲속수련장+목재문화체험장,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제해양관광개발공사,055-639-8115,www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030059,34.7856966,128.625968,2022.11.14,B552833,거제해양관광개발공사
토함산자연휴양림,경상북도,공유림,1211344,330,X,Y,숲속의집+화랑관(어린이물놀이장)+야영장+국학관(세미나실) 등,경상북도 경주시 문무대왕면 불국로 1208-45,경상북도 경주시청,054-750-8700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030027,35.76191761,129.3654772,2022.11.16,5050000,경상북도 경주시
팔공산금화자연휴양림,경상북도,공유림,31,216,0원,Y,"숲속의집, 카라반, 교육관, 휴양관, 야영데크",경상북도 칠곡군 가산면 가산로 323,경상북도 문화관광공사,054-971-1551,http://palgong.gb.go.kr,36.05171899,128.5553512,2022.11.15,6470000,경상북도
안동호반자연휴양림,경상북도,공유림,52,258,0원,Y,"호반하우스,산림휴양관,숲속의집,전통가옥",경상북도 안동시 도산면 월천길 100-7,경상북도 문화관광공사,054-855-3371,http://huyang.gb.go.kr,36.70343807,128.8288547,2022.11.15,6470000,경상북도
흑석산자연휴양림,전라남도,공유림,500000,700,2000,Y,숲속의집(객식)+유아숲체험원+족욕장+수변쉼터 등,전라남도 해남군 계곡면 산골길 306,전라남도 해남군청 산림녹지과,061-530-5738,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030045,34.67093468,126.6169967,2022.6.7,4930000,전라남도 해남군
밀양도래재자연휴양림,경상남도,공유림,524988,200,일반1000원+단체800원+청소년800원+단체600원+어린이500원+단체400원,Y,산림휴양관+숲속의집+야영데크+목공예센터+카페테리아+요가체험센터,경상남도 밀양시 단장면 도래재로 462,경상남도 밀양시,055-355-0200,,35.55632931,128.9390583,2022.5.24,5360000,경상남도 밀양시
미숭산자연휴양림,경상북도,공유림,358000,112,무료,Y,숲속의집+산림문화휴양관,경상북도 고령군 대가야읍 낫질로 672-99,고령군,054-950-7407,https://misungsan.foresttrip.go.kr,35.75077545,128.2028394,2022.11.29,5200000,경상북도 고령군
데미샘자연휴양림,전라북도,공유림,200,107,무료,Y,휴양관+숲속의집+숲문화마당+명상의숲 등,전라북도 진안군 백운면 데미샘 1길 172,전라북도 산림환경연구소,063-290-6993,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030074,35.6569938,127.4610402,2022.11.29,4730000,전라북도 진안군
운장산자연휴양림,전라북도,국유림,1958,600,일반인(개인 1000+단체 800)+청소년(개인 600+단체 500)+어린이(개인 300+단체 200),Y,숲속의집+연립동+산림문화휴양관+숲속수련관,전라북도 진안군 정천면 휴양림길 77,무주국유림관리소,063-432-1193,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0194,35.89924607,127.4211096,2022.11.29,4730000,전라북도 진안군
금원산자연휴양림(거창),경상남도,공유림,1300000,685,개인 어른1000원+개인 군인청소년 600원+개인 어린이 300원+단체 어른800원+단체 군인청소년 500원+단체 어린이 200원+가족 어른500원+가족 군인청소년 300원+가족 어린이 150원,Y,숲속의집+휴양관,경상남도 거창군 위천면 금원산길 471-27,경상남도청,055-254-3971,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030077,35.72617571,127.795727,2022.11.29,6480000,경상남도
항노화자연휴양림(항노화힐링랜드),경상남도,공유림,479276,100,일반 3000원(만 7세 이상 만 65세 미만),Y,숲속의집+휴양관,경상남도 거창군 가조면 의상봉길 834,경상남도 거창군청,055-940-7933,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030109,35.73662049,128.0408983,2022.11.29,6480000,경상남도
칠갑산자연휴양림,충청남도,공유림,73000,500,개인 일반 1000원 +개인 청소년·군인 800원+개인 어린이 500원+단체 일반 800원+단체 청소년·군인 600원+단체 어린이 300원 + 청양 부여 공주 군(시)민 무료,Y,숲속의 집+산림문화 휴양관+원두막+기타시설 등,충청남도 청양군 대치면 칠갑산로 668-103,충청남도 청양군공공시설사업소,041-940-2429,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030044,36.431589,126.8438227,2022.11.30,4590000,충청남도 청양군
국립희리산해송자연휴양림,충청남도,국유림,1430000,500,개인(어른1000원+청소년600원+어린이300원)+단체(어른800원+청소년500원+어린이200원),Y,숲속의집+야영장+숲속수련장,충청남도 서천군 종천면 희리산길 206,국립자연휴양림관리소,041-953-2230,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0187,36.11262716,126.664181,2022.12.1,4580000,충청남도 서천군
가리산자연휴양림,강원도,공유림,3050000,234,개인 2000원+청소년 1500원+어린이 1000원,Y,산림문화휴양관+숲속의 집+야영데크 등,강원도 홍천군 두촌면 가리산길 426,강원도 홍천군청,033-435-6034,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030002,37.8656358,127.9811498,2022.11.22,4250000,강원도 홍천군
하추자연휴양림,강원도,공유림,880000,138,객실(비수기 50000원+성수기 70000원)+데크(비수기 20000원+성수기 30000원),Y,숲속의집+야영장+휴양관,강원도 인제군 인제읍 하추로686,강원도 인제군 산림자원과,033-461-0056,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030018,38.03469483,128.3193078,2022.11.18,4330000,강원도 인제군
옥성자연휴양림,경상북도,공유림,1531821,1900,무료,Y,"숲속의집, 산림문화휴양관, 물놀이장, 산책로, 유아숲체험원",경상북도 구미시 옥성면 휴양림길 150,구미시설공단,054-480-2082,gumiokseong.foresttrip.go.kr/,36.27907203,128.2844292,2022.10.21,5080000,경상북도 구미시
비학산자연휴양림,경상북도,공유림,2280000,150,비수기 숙박(산림휴양관 4명용 5만원+산림휴양관 6~8명용 7만원+숲속의 집 4~8명용 7만원+테라스하우스1층 4~8명용 7만원+테라스하우스2층 8~12명용 9만원)+성수기 숙박(산림휴양관 4명용 7만원+산림휴양관 6~8명용 11만원+숲속의 집 4~8명용 11만원+테라스하우스1층 4~8명용 11만원+테라스하우스2층 8~12명용 14만원),Y,산림휴양관+숲속의 집+테라스하우스+카라반+야외데크+생태숲 등,경상북도 포항시 북구 기북면 비학산길 302,경상북도 포항시청,054-252-3275,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030052,36.14703337,129.2111071,2022.10.28,5020000,경상북도 포항시
소선암자연휴양림,충청북도,공유림,633137,500,무료,Y,통나무집+숲속의집+산림문화휴양관+산림복합휴양관+백두대간 문화휴양관,충청북도 단양군 단성면 대잠2길15,충청북도 단양군청,043-422-7839,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030009,36.91922142,128.3123127,2022.10.30,4480000,충청북도 단양군
소백산자연휴양림,충청북도,공유림,1899046,500,유료,Y,숲속의집+산림문화휴양관+정감록명당체험마을+화전민촌,충청북도 단양군 영춘면 하리방터길 180,충청북도 단양군청,043-423-3117,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030009,37.06069296,128.4673084,2022.10.30,4480000,충청북도 단양군
신안자연휴양관,전라남도,국유림,785.11,,무료,Y,신안자연휴양림+수석미술관+세계조개박물관+양산해변,전라남도 신안군 자은면 자은서부2길 508-77,전라남도 신안군청,061-240-3265,https://tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_04/page.wscms,34.87971569,125.9954724,2022.11.15,5010000,전라남도 신안군
춘천숲자연휴양림,강원도,공유림,808043,400,일반2000원+단체1500원,Y,숲속의집+산림휴양관+글램핑장,강원도 춘천시 동산면 종자리로 224-104,강원도 춘천시청,033-264-1156,www.ccforest.or.kr,37.747732,127.742503,2022.8.17,4180000,강원도 춘천시
좌구산자연휴양림,충청북도,공유림,730000,250,없음,Y,"숲속의 집+황토집+별무리하우스+병영하우스+줄타기+썰매장+숲속모험시설+좌구산숲명상의집,+명상구름다리+좌구산천문대 등",충청북도 증평군 증평읍 솟점말길 107,충청북도 증평군 휴양공원사업소,043-835-4551,https://jpjwagu.foresttrip.go.kr,36.70556821,127.6511216,2022.8.17,5570000,충청북도 증평군
소백산자연휴양림,충청북도,공유림,1899046,236,어른 3000원 + 군인/청소년 2000원 + 어린이 1000원 + 6세이하 65세이상 무료,Y,화전민촌+정감록+명당체험마을+숲속의집+산림문화휴양관+세미나실+네트어드벤쳐+승마장+전망대+전시실+그라운드골프장+북카페+산책로,충청북도 단양군 영춘면 하리방터길 180,충청북도 단양군청,043-423-3117,https://www.foresttrip.go.kr,37.06069296,128.4673084,2022.7.1,6430000,충청북도
조령산자연휴양림,충청북도,공유림,7662350,218,무료,Y,숲속의집+복합휴양관+백두대간+생태교육장+옛길+물놀이장+숲속놀이터+산책로 등,충청북도 괴산군 연풍면 새재로 1795,충청북도 산림환경연구소,043-833-7994,https://www.foresttrip.go.kr,36.81234006,128.0462438,2022.7.1,6430000,충청북도
신어산 산림욕장,경상남도,사유림,10000,,무료,N,산림욕로+등산로,경상남도 김해시 신어산길 169,경상남도 김해시청,,,35.26938553,128.9101015,2022.7.10,5350000,경상남도 김해시
국립용지봉자연휴양림,경상남도,국유림,580000,,무료,Y,숲속의집+안내센터,경상남도 김해시 대청동 산63-2,산림청,,,35.18905366,128.7741351,2022.7.10,5350000,경상남도 김해시
불갑사 관광휴양단지,전라남도,사유림,106300,200,무료,Y,관광지+힐링컨벤션센터,전라남도 영광군 불갑면 자비길 51-38,전라남도 영광군청,061-353-4476,glory-healing.com,35.202988,126.53678,2022.6.30,4970000,전라남도 영광군
구름산산림욕장,경기도,국유림,3000000,300,무료,N,피크닉장+황토길+세족장+야외소공연장+놀이시설,경기도 광명시 하안동 산141-7,경기도 광명시청,02-2680-2377,http://www.gm.go.kr/pt/user/bbs/BD_selectBbs.do?q_bbsCode=2298&q_bbscttSn=20190218155830749,37.454013,126.876365,2022.10.13,3900000,경기도 광명시
평창자연휴양림,강원도,공유림,540000,80,일반2000원+단체1500원,Y,숙박동+세미나실+운동장+산책로,강원도 평창군 봉평면 팔송로 285,강원도 평창군청 산림과,033-339-9028,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030003,37.609548,128.303521,2022.9.22,4280000,강원도 평창군
광치자연휴양림,강원도,공유림,51,160,3000원,Y,"숲속의집, 휴양관, 숲속카페,무장애나눔길",강원도 양구군 남면 광치령로 1794번길 265,강원도 양구군청,033-482-3115,http://www.foresttrip.go.kr,38.14199686,128.0710755,2022.8.31,4320000,강원도 양구군
남해편백자연휴양림,경상남도,국유림,2270000,1000,성인 1000원,Y,생태숲+숲속의집 등,경상남도 남해군 삼동면 금암로 658,함양국유림관리소,055-867-7881,www.foresttrip.go.kr/indvz/main.do?hmpgId=0192,34.75216391,128.0201316,2022.11.3,5430000,경상남도 남해군
국립신시도자연휴양림,전라북도,국유림,120000,932,입장료1000+주차료3000+숙박비73000,Y,"방문자안내센터+커뮤니티센터,+휴양관 2동(28실)+숲속의집 28동(28실)+해안탐방로+달맞이 화원+태양전망대+원형전망대",전라북도 군산시 옥도면 신시도길 271,국립자연휴양림관리소,063-464-5580,https://foresttrip.go.kr/indvz/main.do?hmpgId=0301,35.82815579,126.4468419,2022.12.12,4670000,전라북도 군산시
국립방장산자연휴양림,전라남도,국유림,3730000,1000,없음,N,"치유의숲 치유센터, 전망대 등",전라남도 장성군 북이면 추암로 555,국립장성숲체원,061-393-1777,국립장성숲체원 (fowi.or.kr),35.360934,126.728553,2022.12.1,4980000,전라남도 장성군
방장산자연휴양림,전라남도,국유림,70000,500,일반 1000원+단체 800원,Y,"숲속의 집, 산림문화휴양관, 세미나실, 숲속공예마을(체험) 등",전라남도 장성군 북이면 방장로 353,국립자연휴양림관리소,061-394-5523,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0181,35.44405218,126.7514053,2022.12.1,4980000,전라남도 장성군
공주산림휴양마을,충청남도,공유림,518270,250,무료,Y,숲속의집+휴양관+야영장+목재문화체험장,충청남도 공주시 수원지공원길 222,충청남도 공주시청,041-855-0855,http://jumisan.gongju.go.kr,36.42442578,127.1193201,2022.11.22,4500000,충청남도 공주시
군위장곡자연휴양림,경상북도,공유림,2618706,300,일반어른1000원+일반청소년700원+일반군인700원+일반어린이500원+단체어른700원+단체청소년500원+단체군인500원+단체어린이500원,Y,숲속의 집+종합산막+산림문화휴양관+산림생태체험학습관+자생식물원+물놀이장,경상북도 군위군 삼국유사면 장곡휴양림길 195,경상북도 군위군청,054-380-6317,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030064,36.129815,128.835924,2022.11.29,5140000,경상북도 군위군
월아산자연휴양림(진주),경상남도,공유림,960027,175,무료,Y,숲속의집+휴양관,경상남도 진주시 진성면 달음산로 313,경상남도 진주시청,055-746-3673,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030114,35.199915,128.1941257,2022.11.29,6480000,경상남도
사천케이블카자연휴양림(사천),경상남도,공유림,394894,250,개인 어른1000원+개인 청소년군인 700원+개인 어린이 400원+단체 어른800원+단체 청소년군인 500원+단체 어린이 200원,Y,숲속의집+휴양관,경상남도 사천시 실안길 242-45,경상남도 사천시청,055-835-9526,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030112,34.95015858,128.0583444,2022.11.29,6480000,경상남도
도래재자연휴양림(밀양),경상남도,공유림,524988,200,무료,Y,숲속의집+휴양관,경상남도 밀양시 단장면 도래재로 462,경상남도 밀양시청,055-355-0200,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030115,35.55632931,128.9390583,2022.11.29,6480000,경상남도
거제자연휴양림(거제),경상남도,공유림,329490,505,개인 어른1000원+개인 청소년군인 700원+개인 어린이 500원+단체 어른700원+단체 청소년군인 500원+단체 어린이 300원,Y,숲속의집+휴양관,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제시 거제해양관광개?u공사,055-639-8115,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030059,34.78569918,128.6259431,2022.11.29,6480000,경상남도
대운산자연휴양림(양산),경상남도,공유림,2143930,87,무료,Y,숲속의집+휴양관,경상남도 양산시 탑골길 270,경상남도 양산시 양산시설관리공단,055-379-8670,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030038,35.41785462,129.2088998,2022.11.29,6480000,경상남도
자굴산자연휴양림(의령),경상남도,공유림,2282300,209,무료,Y,숲속의집+휴양관,경상남도 의령군 가례면 자굴산휴양로?23,경상남도 의령군청,055-570-0030,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030113,35.37763031,128.2089972,2022.11.29,6480000,경상남도
화왕산자연휴양림(창녕),경상남도,공유림,673300,146,무료,Y,숲속의집+휴양관,경상남도 창녕군 고암면 청간길 128-126,경상남도 창녕군청,055-533-2332,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030015,35.54693079,128.5673145,2022.11.29,6480000,경상남도
구재봉자연휴양림(하동),경상남도,공유림,433135,500,개인 어른1000원+개인 청소년 600원+개인 어린이 300원+단체 어른800원+단체 청소년 500원+단체 어린이 200원+동절기(12월~2월)입장료면제,Y,숲속의집+휴양관,경상남도 하동군 적량면 중서길 60-81,경상남도 하동군청,070-8855-8011,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030072,35.12895794,127.7440937,2022.11.29,6480000,경상남도
하동편백자연휴양림,경상남도,공유림,307950,600,"개인 어른1000원+개인 청소년 600원+개인 어린이 300원+단체 어른800원+단체 청소년 500원+단체 어린이 200원+경로,장애인국가유공제 무료(신분증제시자)",Y,숲속의집+휴양관,경상남도 하동군 옥종면 돌고지로 1088-51,경상남도 하동군청,070-8994-0717,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030103,35.18703884,127.8398597,2022.11.29,6480000,경상남도
한방자연휴양림(산청),경상남도,공유림,1376062,272,무료,Y,숲속의집+휴양관,경상남도 산청군 금서면 동의보감로 555번길 186,경상남도 산청군청,055-970-6951,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030037,35.43403584,127.8236808,2022.11.29,6480000,경상남도
용추자연휴양림(함양),경상남도,공유림,1590000,390,무료,Y,숲속의집+휴양관,경상남도 함양군 안의면 용추휴양림길 166,경상남도 함양군청,055-963-8702,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030047,35.69613134,127.7578619,2022.11.29,6480000,경상남도
대봉산자연휴양림(함양),경상남도,공유림,959054,150,무료,Y,숲속의집+휴양관,경상남도 함양군 병곡면 병곡지곡로 333,경상남도 함양군청,055-964-1090,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030046,35.57794015,127.7150289,2022.11.29,6480000,경상남도
산삼자연휴양림(함양),경상남도,공유림,670000,200,무료,Y,숲속의집+휴양관,경상남도 함양군 서상면 가르내길 202-1,경상남도 함양군청,055-964-9886,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030048,35.69762459,127.6584297,2022.11.29,6480000,경상남도
박달재자연휴양림,충청북도,공유림,1700000,2000,무,Y,숲속의집+산책로,충청북도 제천시 백운면 금봉로 228,충청북도 제천시청,043-652-0910,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030062,37.14706386,128.0457749,2022.11.30,4400000,충청북도 제천시
옥전자연휴양림,충청북도,공유림,1090000,1000,무,Y,숲속의집,충청북도 제천시 봉양읍 옥전길 195,충청북도 제천시청,043-641-6893,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030110,37.17540371,128.0899438,2022.11.30,4400000,충청북도 제천시
장령산자연휴양림,충청북도,공유림,2000000,2500,없음,Y,숲속의집+산림문화휴양관+휴-포레스트+야영장+야외물놀이장+치유의 숲,충청북도 옥천군 군서면 장령산로 519,충청북도 옥천군청,043-733-9615,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030036,36.24486737,127.5547497,2022.11.24,4430000,충청북도 옥천군
민주지산자연휴양림,충청북도,공유림,1800000,394,어른 1000원+청소년 500원+어린이 300원,N,"버섯동+생화동+국악동+식당+황토방+황토찝질방+학습관+너와집+산림문화휴양관1,2층 세미나실+치유숙소6개소+치유센터+진료동+치유센터치유동+야외 치유시설+야영장+족구장 등",충청북도 영동군 용화면 휴양림길 60,충청북도 영동군청 산림과,043-740-3437,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030107,36.05313182,127.8243888,2022.11.30,4440000,충청북도 영동군
안면도자연휴양림,충청남도,국유림,1350000,6000,일반 1000원+청소년 800원 +군인 800원 + 어린이 400원,Y,전시관+수목원+숲속의집 등,충청남도 태안군 안면읍 안면대로3195-6,충청남도 산림환경연구소 휴양림관리사무소,041-674-5019,www.anmyonhuyang.go.kr,36.49670127,126.3588291,2022.12.1,4620000,충청남도 태안군
칼봉산자연휴양림,경기도,공유림,2640000,160,0,Y,"숲속의집, 산림휴양관, 생태숲, 생태체험학습장, 야영장 등",경기도 가평군 가평읍 경반안로 454,가평군 시설관리공단,031-8078-8061,www.kalbong.com,37.83611811,127.4653871,2022.3.3,4160000,경기도 가평군
영인산자연휴양림,충청남도,공유림,1230000,341,"개인 어른 2,000원 청소년 1,500원 어린이 1,000원  단체 어른 1,600원 청소년 1,200원 어린이 800원",Y,"숲속의집, 야영장,어드벤쳐시설",충청남도 아산시 영인면 아산온천로 16-26,아산시시설관리공단,041-538-1958,http://forest.asanfmc.or.kr,36.84059456,126.9500195,2021.10.26,4520000,충청남도 아산시
만인산자연휴양림,대전광역시,공유림,1850000,5000,무료,Y,"숲속교실,야외무대,목공체험장",대전광역시 동구 산내로 106,대전광역시 공원관리사업소,042-270-8655,http://www.daejeon.go.kr/par/index.do,36.2021806,127.4551104,2021.10.27,6300000,대전광역시
장태산자연휴양림,대전광역시,공유림,820000,6000,무료,Y,"생태연못,교과서식물원,산림문화휴양관",대전광역시 서구 장안로 461,대전광역시 공원관리사업소,042-270-7883,http://www.jangtaesan.or.kr/,36.21596742,127.3412777,2021.10.27,6300000,대전광역시
팔영산자연휴양림,전라남도,공유림,1870000,250,없음,Y,"숲속의집 12동, 산림문화휴양관 1동",전라남도 고흥군 영남면 팔영로 1347-418,고흥군청,061-830-5386,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030069,34.62133127,127.4401371,2021.10.22,4880000,전라남도 고흥군
두루웰자연휴양림,강원도,공유림,1864000,100,"개인(일반1000, 청소년600, 어린이300)단체(일반 700, 청소년400, 어린이200)",Y,"숲속의집, 트리하우스, 캠핑장",강원도 철원군 갈말읍 지경1길 69,강원도 철원군청 녹색성장과,033-450-5198,www.foresttrip.go.kr,38.227936,127.353297,2021.10.21,4300000,강원도 철원군
대봉산자연휴양림,경상남도,공유림,950000,150,무료,Y,산림문화휴양관+숲속의집+관리사무실+해피쿠킹장,경상남도 함양군 병곡면 병곡지곡로 333,경상남도 함양군청,055-964-1090,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030046,35.57794141,127.7150294,2022.12.8,5460000,경상남도 함양군
진주 월아산 자연휴양림,경상남도,공유림,23294,170,무료,Y,숲속의집 4동+산림휴양관+잔디마당+글램핑장 8동+야영데크 5개소+우드랜드+숲속어린이도서관,경상남도 진주시 진성면 달음산로 313,경상남도 진주시청,055-746-3673,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030114,35.19991568,128.1941259,2022.12.8,5310000,경상남도 진주시
천보산자연휴양림,경기도,공유림,1165686,80,일반 2000원+단체 1400원,Y,숲속의집+휴양관+야영장 등,경기도 포천시 원동교길 309,경기도 포천시청,031-538-3554,,37.85576406,127.1190897,2022.10.31,5600000,경기도 포천시
